Tempo;Deslocamento;Força;Deformação à tração (Deslocamento);Deslocamento à tração;Quantidade de PIP;Tenacidade;Tensão à tração
(s);(mm);(kN);(%);(mm);;(N/tex);(MPa)
"0,0000";"-0,0001";"0,0000";"0,0000";"0,0000";"0,0000";"0,0102";"0,0002"
"0,0200";"-0,0001";"0,0000";"0,0000";"0,0000";"0,0000";"0,0137";"0,0002"
"0,0400";"0,0000";"0,0001";"0,0000";"0,0000";"0,0000";"0,0831";"0,0014"
"0,0600";"0,0002";"0,0004";"0,0001";"0,0003";"0,0000";"0,3670";"0,0061"
"0,0800";"0,0008";"0,0011";"0,0005";"0,0009";"0,0000";"1,0794";"0,0180"
"0,1000";"0,0016";"0,0020";"0,0009";"0,0017";"0,0000";"1,9631";"0,0327"
"0,1200";"0,0025";"0,0029";"0,0014";"0,0026";"0,0000";"2,9322";"0,0489"
"0,1400";"0,0035";"0,0040";"0,0019";"0,0035";"0,0000";"3,9838";"0,0664"
"0,1600";"0,0045";"0,0051";"0,0024";"0,0046";"0,0000";"5,1255";"0,0854"
"0,1800";"0,0056";"0,0062";"0,0030";"0,0056";"0,0000";"6,2292";"0,1038"
"0,2000";"0,0066";"0,0074";"0,0035";"0,0067";"0,0000";"7,3564";"0,1226"
"0,2200";"0,0077";"0,0085";"0,0041";"0,0077";"0,0000";"8,5050";"0,1418"
"0,2400";"0,0087";"0,0096";"0,0046";"0,0088";"0,0000";"9,6009";"0,1600"
"0,2600";"0,0098";"0,0108";"0,0052";"0,0098";"0,0000";"10,7713";"0,1795"
"0,2800";"0,0108";"0,0119";"0,0057";"0,0109";"0,0000";"11,8754";"0,1979"
"0,3000";"0,0120";"0,0131";"0,0063";"0,0120";"0,0000";"13,0594";"0,2177"
"0,3200";"0,0132";"0,0143";"0,0070";"0,0132";"0,0000";"14,2966";"0,2383"
"0,3400";"0,0145";"0,0156";"0,0076";"0,0145";"0,0000";"15,6415";"0,2607"
"0,3600";"0,0160";"0,0172";"0,0084";"0,0161";"0,0000";"17,2293";"0,2872"
"0,3800";"0,0174";"0,0187";"0,0092";"0,0175";"0,0000";"18,6813";"0,3114"
"0,4000";"0,0187";"0,0200";"0,0099";"0,0187";"0,0000";"20,0121";"0,3335"
"0,4200";"0,0200";"0,0213";"0,0105";"0,0200";"0,0000";"21,3131";"0,3552"
"0,4400";"0,0212";"0,0226";"0,0112";"0,0212";"0,0000";"22,5536";"0,3759"
"0,4600";"0,0225";"0,0239";"0,0119";"0,0225";"0,0000";"23,8821";"0,3980"
"0,4800";"0,0238";"0,0252";"0,0125";"0,0238";"0,0000";"25,2004";"0,4200"
"0,5000";"0,0250";"0,0265";"0,0132";"0,0251";"0,0000";"26,4784";"0,4413"
"0,5200";"0,0263";"0,0278";"0,0139";"0,0263";"0,0000";"27,7611";"0,4627"
"0,5400";"0,0276";"0,0292";"0,0146";"0,0277";"0,0000";"29,1507";"0,4858"
"0,5600";"0,0291";"0,0306";"0,0153";"0,0291";"0,0000";"30,5687";"0,5095"
"0,5800";"0,0304";"0,0319";"0,0160";"0,0304";"0,0000";"31,8904";"0,5315"
