Tempo; Deslocamento; Força; Tensão à flexão
(s);(mm);(kN);(MPa)
"0,0000";"0,5443";"0,0000";"-0,0110"
"0,0200";"0,5442";"-0,0001";"-0,0137"
"0,0400";"0,5442";"-0,0001";"-0,0163"
"0,0600";"0,5445";"0,0000";"-0,0079"
"0,0800";"0,5452";"0,0001";"0,0154"
"0,1000";"0,5466";"0,0003";"0,0586"
"0,1200";"0,5486";"0,0005";"0,1108"
"0,1400";"0,5511";"0,0007";"0,1681"
"0,1600";"0,5539";"0,0010";"0,2335"
"0,1800";"0,5566";"0,0013";"0,2958"
"0,2000";"0,5593";"0,0015";"0,3590"
"0,2200";"0,5622";"0,0018";"0,4185"
"0,2400";"0,5650";"0,0021";"0,4804"
"0,2600";"0,5676";"0,0023";"0,5380"
"0,2800";"0,5704";"0,0026";"0,6035"
"0,3000";"0,5736";"0,0029";"0,6702"
"0,3200";"0,5766";"0,0031";"0,7317"
"0,3400";"0,5794";"0,0034";"0,7909"
"0,3600";"0,5823";"0,0036";"0,8533"
"0,3800";"0,5852";"0,0039";"0,9166"
"0,4000";"0,5881";"0,0042";"0,9812"
"0,4200";"0,5910";"0,0045";"1,0427"
"0,4400";"0,5938";"0,0047";"1,1010"
"0,4600";"0,5968";"0,0050";"1,1657"
"0,4800";"0,5998";"0,0053";"1,2323"
"0,5000";"0,6027";"0,0055";"1,2943"
"0,5200";"0,6055";"0,0058";"1,3530"
"0,5400";"0,6083";"0,0060";"1,4142"
"0,5600";"0,6112";"0,0063";"1,4781"
"0,5800";"0,6143";"0,0066";"1,5470"
"0,6000";"0,6173";"0,0069";"1,6130"
"0,6200";"0,6202";"0,0072";"1,6737"
"0,6400";"0,6233";"0,0074";"1,7405"
"0,6600";"0,6263";"0,0077";"1,8074"
"0,6800";"0,6292";"0,0080";"1,8735"
"0,7000";"0,6322";"0,0083";"1,9397"
"0,7200";"0,6353";"0,0086";"2,0055"
"0,7400";"0,6382";"0,0088";"2,0697"
"0,7600";"0,6413";"0,0091";"2,1366"
"0,7800";"0,6443";"0,0094";"2,2022"
"0,8000";"0,6472";"0,0097";"2,2670"
"0,8200";"0,6502";"0,0100";"2,3307"
"0,8400";"0,6531";"0,0102";"2,3973"
"0,8600";"0,6561";"0,0105";"2,4651"
"0,8800";"0,6591";"0,0108";"2,5331"
"0,9000";"0,6619";"0,0111";"2,5935"
"0,9200";"0,6649";"0,0114";"2,6608"
"0,9400";"0,6679";"0,0116";"2,7249"
"0,9600";"0,6707";"0,0119";"2,7880"
"0,9800";"0,6736";"0,0122";"2,8534"
"1,0000";"0,6766";"0,0125";"2,9191"
"1,0200";"0,6797";"0,0128";"2,9877"
"1,0400";"0,6828";"0,0131";"3,0555"
"1,0600";"0,6857";"0,0133";"3,1183"
"1,0800";"0,6886";"0,0136";"3,1804"
"1,1000";"0,6916";"0,0139";"3,2436"
"1,1200";"0,6946";"0,0142";"3,3127"
"1,1400";"0,6977";"0,0145";"3,3865"
"1,1600";"0,7007";"0,0147";"3,4509"
"1,1800";"0,7035";"0,0150";"3,5101"
"1,2000";"0,7065";"0,0153";"3,5749"
"1,2200";"0,7095";"0,0156";"3,6402"
"1,2400";"0,7125";"0,0158";"3,7064"
"1,2600";"0,7155";"0,0161";"3,7736"
"1,2800";"0,7185";"0,0164";"3,8404"
"1,3000";"0,7215";"0,0167";"3,9060"
"1,3200";"0,7244";"0,0170";"3,9716"
"1,3400";"0,7273";"0,0172";"4,0339"
"1,3600";"0,7304";"0,0175";"4,0999"
"1,3800";"0,7334";"0,0178";"4,1672"
"1,4000";"0,7363";"0,0181";"4,2292"
"1,4200";"0,7391";"0,0183";"4,2887"
"1,4400";"0,7420";"0,0186";"4,3492"
"1,4600";"0,7450";"0,0189";"4,4160"
"1,4800";"0,7480";"0,0192";"4,4817"
"1,5000";"0,7510";"0,0194";"4,5442"
"1,5200";"0,7539";"0,0197";"4,6099"
"1,5400";"0,7570";"0,0200";"4,6770"
"1,5600";"0,7601";"0,0203";"4,7482"
"1,5800";"0,7632";"0,0206";"4,8141"
"1,6000";"0,7661";"0,0209";"4,8791"
"1,6200";"0,7690";"0,0211";"4,9407"
"1,6400";"0,7720";"0,0214";"5,0048"
"1,6600";"0,7752";"0,0217";"5,0755"
"1,6800";"0,7783";"0,0220";"5,1456"
"1,7000";"0,7814";"0,0223";"5,2155"
"1,7200";"0,7844";"0,0226";"5,2796"
"1,7400";"0,7874";"0,0228";"5,3442"
"1,7600";"0,7904";"0,0231";"5,4105"
"1,7800";"0,7934";"0,0234";"5,4755"
"1,8000";"0,7964";"0,0237";"5,5422"
"1,8200";"0,7995";"0,0240";"5,6122"
"1,8400";"0,8025";"0,0243";"5,6782"
"1,8600";"0,8055";"0,0245";"5,7372"
"1,8800";"0,8084";"0,0248";"5,8013"
"1,9000";"0,8115";"0,0251";"5,8698"
"1,9200";"0,8146";"0,0254";"5,9354"
"1,9400";"0,8176";"0,0256";"6,0017"
"1,9600";"0,8207";"0,0259";"6,0707"
"1,9800";"0,8239";"0,0262";"6,1387"
"2,0000";"0,8269";"0,0265";"6,2056"
"2,0200";"0,8299";"0,0268";"6,2718"
"2,0400";"0,8328";"0,0271";"6,3324"
"2,0600";"0,8359";"0,0273";"6,3999"
"2,0800";"0,8390";"0,0276";"6,4686"
"2,1000";"0,8421";"0,0279";"6,5348"
"2,1200";"0,8452";"0,0282";"6,5997"
