Tempo;Deslocamento;Força;Tensão à flexão
(s);(mm);(kN);(MPa)
"0,0000";"0,5233";"0,0000";"-0,0120"
"0,0200";"0,5232";"0,0000";"-0,0143"
"0,0400";"0,5231";"0,0000";"-0,0204"
"0,0600";"0,5233";"0,0000";"-0,0104"
"0,0800";"0,5240";"0,0001";"0,0231"
"0,1000";"0,5256";"0,0003";"0,1081"
"0,1200";"0,5278";"0,0005";"0,2154"
"0,1400";"0,5301";"0,0008";"0,3265"
"0,1600";"0,5329";"0,0011";"0,4477"
"0,1800";"0,5356";"0,0013";"0,5641"
"0,2000";"0,5383";"0,0016";"0,6859"
"0,2200";"0,5412";"0,0019";"0,8138"
"0,2400";"0,5442";"0,0022";"0,9377"
"0,2600";"0,5473";"0,0025";"1,0689"
"0,2800";"0,5503";"0,0028";"1,1990"
"0,3000";"0,5532";"0,0031";"1,3168"
"0,3200";"0,5560";"0,0034";"1,4384"
"0,3400";"0,5589";"0,0037";"1,5648"
"0,3600";"0,5618";"0,0040";"1,6933"
"0,3800";"0,5649";"0,0043";"1,8284"
"0,4000";"0,5679";"0,0046";"1,9564"
"0,4200";"0,5708";"0,0049";"2,0842"
"0,4400";"0,5736";"0,0052";"2,2073"
"0,4600";"0,5764";"0,0055";"2,3306"
"0,4800";"0,5792";"0,0058";"2,4588"
"0,5000";"0,5822";"0,0061";"2,5852"
"0,5200";"0,5851";"0,0064";"2,7111"
"0,5400";"0,5880";"0,0067";"2,8385"
"0,5600";"0,5910";"0,0070";"2,9779"
"0,5800";"0,5939";"0,0073";"3,1070"
"0,6000";"0,5969";"0,0076";"3,2328"
"0,6200";"0,5998";"0,0079";"3,3603"
"0,6400";"0,6026";"0,0082";"3,4851"
"0,6600";"0,6055";"0,0085";"3,6088"
"0,6800";"0,6085";"0,0088";"3,7320"
"0,7000";"0,6113";"0,0091";"3,8624"
"0,7200";"0,6142";"0,0094";"3,9875"
"0,7400";"0,6171";"0,0097";"4,1111"
"0,7600";"0,6201";"0,0100";"4,2367"
"0,7800";"0,6232";"0,0103";"4,3751"
"0,8000";"0,6263";"0,0106";"4,5151"
"0,8200";"0,6293";"0,0109";"4,6418"
"0,8400";"0,6322";"0,0112";"4,7668"
"0,8600";"0,6353";"0,0115";"4,8951"
"0,8800";"0,6384";"0,0118";"5,0284"
"0,9000";"0,6412";"0,0121";"5,1480"
"0,9200";"0,6441";"0,0124";"5,2722"
"0,9400";"0,6472";"0,0127";"5,3975"
"0,9600";"0,6502";"0,0130";"5,5286"
"0,9800";"0,6532";"0,0133";"5,6574"
"1,0000";"0,6561";"0,0136";"5,7797"
"1,0200";"0,6590";"0,0139";"5,9036"
"1,0400";"0,6619";"0,0142";"6,0311"
"1,0600";"0,6650";"0,0145";"6,1652"
"1,0800";"0,6680";"0,0148";"6,2945"
"1,1000";"0,6710";"0,0151";"6,4176"
"1,1200";"0,6739";"0,0154";"6,5385"
"1,1400";"0,6768";"0,0157";"6,6668"
"1,1600";"0,6797";"0,0160";"6,7904"
"1,1800";"0,6827";"0,0163";"6,9217"
"1,2000";"0,6856";"0,0166";"7,0502"
"1,2200";"0,6885";"0,0169";"7,1704"
"1,2400";"0,6913";"0,0172";"7,2893"
"1,2600";"0,6943";"0,0175";"7,4195"
"1,2800";"0,6973";"0,0178";"7,5564"
"1,3000";"0,7003";"0,0181";"7,6884"
"1,3200";"0,7032";"0,0184";"7,8117"
"1,3400";"0,7061";"0,0187";"7,9326"
"1,3600";"0,7090";"0,0190";"8,0600"
"1,3800";"0,7121";"0,0193";"8,1979"
"1,4000";"0,7151";"0,0196";"8,3258"
"1,4200";"0,7180";"0,0199";"8,4467"
"1,4400";"0,7209";"0,0202";"8,5742"
"1,4600";"0,7238";"0,0205";"8,7021"
"1,4800";"0,7268";"0,0208";"8,8281"
"1,5000";"0,7297";"0,0211";"8,9524"
"1,5200";"0,7326";"0,0214";"9,0748"
"1,5400";"0,7357";"0,0217";"9,2082"
"1,5600";"0,7387";"0,0220";"9,3377"
"1,5800";"0,7416";"0,0223";"9,4612"
"1,6000";"0,7446";"0,0226";"9,5892"
"1,6200";"0,7475";"0,0229";"9,7126"
"1,6400";"0,7504";"0,0232";"9,8337"
"1,6600";"0,7534";"0,0235";"9,9617"
"1,6800";"0,7564";"0,0238";"10,0958"
"1,7000";"0,7593";"0,0241";"10,2216"
"1,7200";"0,7623";"0,0244";"10,3483"
"1,7400";"0,7653";"0,0247";"10,4780"
"1,7600";"0,7683";"0,0250";"10,6042"
"1,7800";"0,7713";"0,0253";"10,7325"
"1,8000";"0,7744";"0,0256";"10,8708"
"1,8200";"0,7775";"0,0259";"11,0048"
"1,8400";"0,7805";"0,0262";"11,1300"
"1,8600";"0,7835";"0,0265";"11,2560"
"1,8800";"0,7865";"0,0268";"11,3819"
"1,9000";"0,7895";"0,0271";"11,5074"
"1,9200";"0,7924";"0,0274";"11,6314"
"1,9400";"0,7953";"0,0277";"11,7620"
"1,9600";"0,7985";"0,0280";"11,8987"
"1,9800";"0,8016";"0,0283";"12,0321"
"2,0000";"0,8046";"0,0286";"12,1543"
"2,0200";"0,8075";"0,0289";"12,2748"
"2,0400";"0,8104";"0,0292";"12,3940"
"2,0600";"0,8135";"0,0295";"12,5294"
"2,0800";"0,8165";"0,0298";"12,6635"
"2,1000";"0,8196";"0,0301";"12,7946"
"2,1200";"0,8228";"0,0304";"12,9277"
"2,1400";"0,8258";"0,0308";"13,0572"
"2,1600";"0,8287";"0,0310";"13,1791"
"2,1800";"0,8317";"0,0313";"13,3011"
"2,2000";"0,8346";"0,0316";"13,4246"
"2,2200";"0,8375";"0,0319";"13,5392"
"2,2400";"0,8405";"0,0322";"13,6608"
"2,2600";"0,8434";"0,0325";"13,7847"
"2,2800";"0,8465";"0,0328";"13,9193"
"2,3000";"0,8496";"0,0331";"14,0506"
"2,3200";"0,8527";"0,0334";"14,1782"
"2,3400";"0,8558";"0,0337";"14,3064"
"2,3600";"0,8587";"0,0340";"14,4309"
"2,3800";"0,8616";"0,0343";"14,5533"
"2,4000";"0,8646";"0,0346";"14,6727"
"2,4200";"0,8676";"0,0349";"14,8058"
"2,4400";"0,8708";"0,0352";"14,9423"
"2,4600";"0,8738";"0,0355";"15,0708"
"2,4800";"0,8769";"0,0358";"15,1953"
"2,5000";"0,8800";"0,0361";"15,3232"
"2,5200";"0,8830";"0,0364";"15,4516"
"2,5400";"0,8861";"0,0367";"15,5770"
"2,5600";"0,8892";"0,0370";"15,7037"
"2,5800";"0,8923";"0,0373";"15,8394"
"2,6000";"0,8955";"0,0376";"15,9702"
"2,6200";"0,8986";"0,0379";"16,0962"
"2,6400";"0,9017";"0,0382";"16,2332"
"2,6600";"0,9048";"0,0385";"16,3615"
"2,6800";"0,9080";"0,0388";"16,4897"
"2,7000";"0,9110";"0,0391";"16,6111"
"2,7200";"0,9141";"0,0394";"16,7405"
"2,7400";"0,9172";"0,0397";"16,8682"
"2,7600";"0,9203";"0,0400";"16,9974"
"2,7800";"0,9233";"0,0403";"17,1224"
"2,8000";"0,9264";"0,0406";"17,2468"
"2,8200";"0,9294";"0,0409";"17,3748"
"2,8400";"0,9325";"0,0412";"17,5003"
"2,8600";"0,9356";"0,0415";"17,6323"
"2,8800";"0,9387";"0,0418";"17,7642"
"2,9000";"0,9418";"0,0421";"17,8921"
"2,9200";"0,9449";"0,0424";"18,0196"
"2,9400";"0,9480";"0,0428";"18,1542"
"2,9600";"0,9511";"0,0431";"18,2825"
"2,9800";"0,9541";"0,0433";"18,4046"
"3,0000";"0,9570";"0,0436";"18,5239"
"3,0200";"0,9600";"0,0439";"18,6478"
"3,0400";"0,9631";"0,0442";"18,7762"
"3,0600";"0,9662";"0,0445";"18,8985"
"3,0800";"0,9691";"0,0448";"19,0254"
"3,1000";"0,9720";"0,0451";"19,1419"
"3,1200";"0,9750";"0,0454";"19,2717"
"3,1400";"0,9781";"0,0457";"19,4025"
"3,1600";"0,9812";"0,0460";"19,5288"
"3,1800";"0,9842";"0,0463";"19,6579"
"3,2000";"0,9873";"0,0466";"19,7924"
"3,2200";"0,9904";"0,0469";"19,9171"
"3,2400";"0,9935";"0,0472";"20,0495"
"3,2600";"0,9966";"0,0475";"20,1748"
"3,2800";"0,9997";"0,0478";"20,3070"
"3,3000";"1,0027";"0,0481";"20,4293"
"3,3200";"1,0058";"0,0484";"20,5555"
"3,3400";"1,0089";"0,0487";"20,6852"
"3,3600";"1,0120";"0,0490";"20,8098"
"3,3800";"1,0150";"0,0493";"20,9391"
"3,4000";"1,0182";"0,0496";"21,0709"
"3,4200";"1,0214";"0,0499";"21,2069"
"3,4400";"1,0245";"0,0502";"21,3352"
"3,4600";"1,0277";"0,0506";"21,4659"
"3,4800";"1,0308";"0,0508";"21,5895"
"3,5000";"1,0340";"0,0512";"21,7271"
"3,5200";"1,0372";"0,0515";"21,8574"
"3,5400";"1,0404";"0,0518";"21,9882"
"3,5600";"1,0434";"0,0521";"22,1113"
"3,5800";"1,0464";"0,0524";"22,2335"
"3,6000";"1,0497";"0,0527";"22,3671"
"3,6200";"1,0528";"0,0530";"22,4998"
"3,6400";"1,0559";"0,0533";"22,6258"
"3,6600";"1,0590";"0,0536";"22,7525"
"3,6800";"1,0621";"0,0539";"22,8794"
"3,7000";"1,0651";"0,0542";"22,9978"
"3,7200";"1,0682";"0,0545";"23,1200"
"3,7400";"1,0714";"0,0548";"23,2506"
"3,7600";"1,0746";"0,0551";"23,3876"
"3,7800";"1,0777";"0,0554";"23,5143"
"3,8000";"1,0808";"0,0557";"23,6379"
"3,8200";"1,0840";"0,0560";"23,7654"
"3,8400";"1,0870";"0,0563";"23,8919"
"3,8600";"1,0901";"0,0566";"24,0193"
"3,8800";"1,0932";"0,0569";"24,1406"
"3,9000";"1,0963";"0,0571";"24,2563"
"3,9200";"1,0993";"0,0574";"24,3785"
"3,9400";"1,1025";"0,0577";"24,5065"
"3,9600";"1,1056";"0,0580";"24,6307"
"3,9800";"1,1087";"0,0583";"24,7514"
"4,0000";"1,1117";"0,0586";"24,8732"
"4,0200";"1,1149";"0,0589";"25,0015"
"4,0400";"1,1181";"0,0592";"25,1294"
"4,0600";"1,1213";"0,0595";"25,2569"
"4,0800";"1,1245";"0,0598";"25,3879"
"4,1000";"1,1277";"0,0601";"25,5045"
"4,1200";"1,1308";"0,0604";"25,6255"
"4,1400";"1,1340";"0,0607";"25,7571"
"4,1600";"1,1372";"0,0610";"25,8812"
"4,1800";"1,1404";"0,0612";"26,0035"
"4,2000";"1,1435";"0,0615";"26,1229"
"4,2200";"1,1468";"0,0618";"26,2474"
"4,2400";"1,1500";"0,0621";"26,3732"
"4,2600";"1,1532";"0,0624";"26,4986"
"4,2800";"1,1563";"0,0627";"26,6143"
"4,3000";"1,1595";"0,0630";"26,7388"
"4,3200";"1,1628";"0,0633";"26,8705"
"4,3400";"1,1661";"0,0636";"26,9947"
"4,3600";"1,1694";"0,0639";"27,1236"
"4,3800";"1,1726";"0,0641";"27,2370"
"4,4000";"1,1757";"0,0644";"27,3507"
"4,4200";"1,1788";"0,0647";"27,4632"
"4,4400";"1,1819";"0,0650";"27,5829"
"4,4600";"1,1851";"0,0652";"27,7041"
"4,4800";"1,1884";"0,0655";"27,8301"
"4,5000";"1,1917";"0,0658";"27,9545"
"4,5200";"1,1949";"0,0661";"28,0791"
"4,5400";"1,1982";"0,0664";"28,1997"
"4,5600";"1,2014";"0,0667";"28,3204"
"4,5800";"1,2047";"0,0670";"28,4336"
"4,6000";"1,2080";"0,0672";"28,5534"
"4,6200";"1,2113";"0,0675";"28,6759"
"4,6400";"1,2145";"0,0678";"28,7908"
"4,6600";"1,2176";"0,0681";"28,9012"
"4,6800";"1,2207";"0,0683";"29,0163"
"4,7000";"1,2239";"0,0686";"29,1314"
"4,7200";"1,2270";"0,0689";"29,2358"
"4,7400";"1,2301";"0,0691";"29,3495"
"4,7600";"1,2334";"0,0694";"29,4641"
"4,7800";"1,2367";"0,0697";"29,5786"
"4,8000";"1,2398";"0,0699";"29,6886"
"4,8200";"1,2430";"0,0702";"29,8004"
"4,8400";"1,2462";"0,0705";"29,9132"
"4,8600";"1,2493";"0,0707";"30,0224"
"4,8800";"1,2524";"0,0710";"30,1336"
"4,9000";"1,2556";"0,0712";"30,2454"
"4,9200";"1,2587";"0,0715";"30,3497"
"4,9400";"1,2619";"0,0717";"30,4615"
"4,9600";"1,2652";"0,0720";"30,5821"
"4,9800";"1,2685";"0,0723";"30,6994"
"5,0000";"1,2718";"0,0726";"30,8150"
"5,0200";"1,2750";"0,0728";"30,9199"
"5,0400";"1,2781";"0,0731";"31,0198"
"5,0600";"1,2813";"0,0733";"31,1296"
"5,0800";"1,2846";"0,0736";"31,2434"
"5,1000";"1,2879";"0,0739";"31,3571"
"5,1200";"1,2912";"0,0741";"31,4654"
"5,1400";"1,2945";"0,0744";"31,5777"
"5,1600";"1,2978";"0,0746";"31,6958"
"5,1800";"1,3012";"0,0749";"31,8064"
"5,2000";"1,3045";"0,0752";"31,9133"
"5,2200";"1,3077";"0,0754";"32,0159"
"5,2400";"1,3110";"0,0757";"32,1239"
"5,2600";"1,3143";"0,0759";"32,2393"
"5,2800";"1,3175";"0,0762";"32,3450"
"5,3000";"1,3208";"0,0764";"32,4503"
"5,3200";"1,3243";"0,0767";"32,5672"
"5,3400";"1,3277";"0,0770";"32,6820"
"5,3600";"1,3310";"0,0772";"32,7852"
"5,3800";"1,3343";"0,0775";"32,8925"
"5,4000";"1,3376";"0,0777";"32,9957"
"5,4200";"1,3408";"0,0779";"33,0917"
"5,4400";"1,3441";"0,0782";"33,2043"
"5,4600";"1,3476";"0,0785";"33,3215"
"5,4800";"1,3509";"0,0787";"33,4236"
"5,5000";"1,3543";"0,0790";"33,5307"
"5,5200";"1,3577";"0,0792";"33,6415"
"5,5400";"1,3610";"0,0795";"33,7465"
"5,5600";"1,3642";"0,0797";"33,8410"
"5,5800";"1,3676";"0,0800";"33,9492"
"5,6000";"1,3710";"0,0802";"34,0548"
"5,6200";"1,3744";"0,0804";"34,1562"
"5,6400";"1,3776";"0,0807";"34,2546"
"5,6600";"1,3809";"0,0809";"34,3544"
"5,6800";"1,3842";"0,0812";"34,4566"
"5,7000";"1,3876";"0,0814";"34,5603"
"5,7200";"1,3911";"0,0817";"34,6690"
"5,7400";"1,3944";"0,0819";"34,7768"
"5,7600";"1,3978";"0,0821";"34,8744"
"5,7800";"1,4012";"0,0824";"34,9770"
"5,8000";"1,4046";"0,0826";"35,0801"
"5,8200";"1,4080";"0,0829";"35,1818"
"5,8400";"1,4113";"0,0831";"35,2763"
"5,8600";"1,4146";"0,0833";"35,3675"
"5,8800";"1,4180";"0,0835";"35,4726"
"5,9000";"1,4213";"0,0838";"35,5697"
"5,9200";"1,4247";"0,0840";"35,6642"
"5,9400";"1,4281";"0,0842";"35,7672"
"5,9600";"1,4314";"0,0845";"35,8669"
"5,9800";"1,4347";"0,0847";"35,9550"
"6,0000";"1,4380";"0,0849";"36,0522"
"6,0200";"1,4414";"0,0851";"36,1505"
"6,0400";"1,4448";"0,0854";"36,2491"
"6,0600";"1,4482";"0,0856";"36,3508"
"6,0800";"1,4517";"0,0859";"36,4553"
"6,1000";"1,4549";"0,0861";"36,5401"
"6,1200";"1,4582";"0,0863";"36,6223"
"6,1400";"1,4616";"0,0865";"36,7162"
"6,1600";"1,4651";"0,0867";"36,8203"
"6,1800";"1,4686";"0,0870";"36,9210"
"6,2000";"1,4718";"0,0872";"37,0115"
"6,2200";"1,4753";"0,0874";"37,1037"
"6,2400";"1,4787";"0,0876";"37,1961"
"6,2600";"1,4818";"0,0878";"37,2794"
"6,2800";"1,4852";"0,0880";"37,3690"
"6,3000";"1,4887";"0,0882";"37,4682"
"6,3200";"1,4922";"0,0885";"37,5686"
"6,3400";"1,4956";"0,0887";"37,6578"
"6,3600";"1,4990";"0,0889";"37,7436"
"6,3800";"1,5024";"0,0891";"37,8362"
"6,4000";"1,5058";"0,0893";"37,9303"
"6,4200";"1,5091";"0,0895";"38,0144"
