Tempo; Deslocamento; Força; Tensão à flexão
(s);(mm);(kN);(MPa)
"0,0000";"0,1433";"0,0000";"-0,0102"
"0,0200";"0,1431";"0,0000";"-0,0146"
"0,0400";"0,1429";"-0,0001";"-0,0234"
"0,0600";"0,1429";"-0,0001";"-0,0276"
"0,0800";"0,1430";"-0,0001";"-0,0220"
"0,1000";"0,1431";"0,0000";"-0,0133"
"0,1200";"0,1433";"0,0000";"-0,0074"
"0,1400";"0,1435";"0,0000";"-0,0008"
"0,1600";"0,1437";"0,0000";"0,0089"
"0,1800";"0,1440";"0,0001";"0,0233"
"0,2000";"0,1444";"0,0001";"0,0396"
"0,2200";"0,1449";"0,0002";"0,0587"
"0,2400";"0,1454";"0,0003";"0,0768"
"0,2600";"0,1460";"0,0003";"0,1001"
"0,2800";"0,1467";"0,0004";"0,1262"
"0,3000";"0,1474";"0,0005";"0,1501"
"0,3200";"0,1481";"0,0006";"0,1755"
"0,3400";"0,1489";"0,0007";"0,2023"
"0,3600";"0,1498";"0,0008";"0,2296"
"0,3800";"0,1505";"0,0008";"0,2537"
"0,4000";"0,1512";"0,0009";"0,2773"
"0,4200";"0,1520";"0,0010";"0,3045"
"0,4400";"0,1528";"0,0011";"0,3329"
"0,4600";"0,1535";"0,0012";"0,3565"
"0,4800";"0,1543";"0,0012";"0,3800"
"0,5000";"0,1551";"0,0013";"0,4053"
"0,5200";"0,1559";"0,0014";"0,4351"
"0,5400";"0,1567";"0,0015";"0,4610"
"0,5600";"0,1575";"0,0016";"0,4846"
"0,5800";"0,1582";"0,0017";"0,5076"
"0,6000";"0,1590";"0,0018";"0,5350"
"0,6200";"0,1599";"0,0018";"0,5632"
"0,6400";"0,1606";"0,0019";"0,5898"
"0,6600";"0,1614";"0,0020";"0,6145"
"0,6800";"0,1622";"0,0021";"0,6392"
"0,7000";"0,1631";"0,0022";"0,6712"
"0,7200";"0,1639";"0,0023";"0,7049"
"0,7400";"0,1648";"0,0024";"0,7345"
"0,7600";"0,1656";"0,0025";"0,7625"
"0,7800";"0,1664";"0,0026";"0,7914"
"0,8000";"0,1672";"0,0027";"0,8189"
"0,8200";"0,1681";"0,0028";"0,8478"
"0,8400";"0,1690";"0,0029";"0,8801"
"0,8600";"0,1699";"0,0030";"0,9119"
"0,8800";"0,1707";"0,0031";"0,9382"
"0,9000";"0,1715";"0,0032";"0,9681"
"0,9200";"0,1724";"0,0033";"0,9939"
"0,9400";"0,1733";"0,0034";"1,0235"
"0,9600";"0,1741";"0,0035";"1,0549"
"0,9800";"0,1749";"0,0036";"1,0894"
"1,0000";"0,1758";"0,0037";"1,1231"
"1,0200";"0,1767";"0,0038";"1,1543"
"1,0400";"0,1776";"0,0039";"1,1842"
"1,0600";"0,1784";"0,0040";"1,2111"
"1,0800";"0,1793";"0,0041";"1,2436"
"1,1000";"0,1802";"0,0042";"1,2754"
"1,1200";"0,1810";"0,0043";"1,3064"
"1,1400";"0,1819";"0,0044";"1,3389"
"1,1600";"0,1827";"0,0045";"1,3700"
"1,1800";"0,1836";"0,0046";"1,4026"
"1,2000";"0,1845";"0,0047";"1,4358"
"1,2200";"0,1853";"0,0048";"1,4676"
"1,2400";"0,1862";"0,0049";"1,5016"
"1,2600";"0,1872";"0,0050";"1,5341"
"1,2800";"0,1881";"0,0051";"1,5666"
"1,3000";"0,1889";"0,0052";"1,5996"
