Tempo;Deslocamento;Força;Deslocamento à tração;Quantidade de PIP;Tenacidade;Tensão à tração;Deformação à tração (Deslocamento)
"0,0000";"0,6173";"0,0001";"0,0000";"0,0000";"0,0690";"0,0012";"0,0000"
"0,0200";"0,6173";"0,0001";"0,0000";"0,0000";"0,0518";"0,0009";"0,0000"
"0,0400";"0,6172";"0,0001";"0,0000";"0,0000";"0,0572";"0,0010";"0,0000"
"0,0600";"0,6172";"0,0001";"-0,0001";"0,0000";"0,0751";"0,0013";"0,0000"
"0,0800";"0,6172";"0,0001";"-0,0001";"0,0000";"0,1043";"0,0017";"0,0000"
"0,1000";"0,6172";"0,0001";"-0,0001";"0,0000";"0,1274";"0,0021";"0,0000"
"0,1200";"0,6172";"0,0001";"-0,0001";"0,0000";"0,1449";"0,0024";"0,0000"
"0,1400";"0,6172";"0,0002";"-0,0001";"0,0000";"0,1596";"0,0027";"0,0000"
"0,1600";"0,6173";"0,0002";"0,0000";"0,0000";"0,1912";"0,0032";"0,0000"
"0,1800";"0,6173";"0,0002";"0,0000";"0,0000";"0,2036";"0,0034";"0,0000"
"0,2000";"0,6173";"0,0002";"0,0000";"0,0000";"0,2209";"0,0037";"0,0000"
"0,2200";"0,6173";"0,0003";"0,0001";"0,0000";"0,2582";"0,0043";"0,0000"
"0,2400";"0,6174";"0,0003";"0,0001";"0,0000";"0,3335";"0,0056";"0,0001"
"0,2600";"0,6175";"0,0004";"0,0002";"0,0000";"0,4204";"0,0070";"0,0001"
"0,2800";"0,6175";"0,0005";"0,0003";"0,0000";"0,5145";"0,0086";"0,0001"
"0,3000";"0,6176";"0,0006";"0,0003";"0,0000";"0,5971";"0,0100";"0,0002"
"0,3200";"0,6177";"0,0007";"0,0004";"0,0000";"0,6975";"0,0116";"0,0002"
"0,3400";"0,6178";"0,0008";"0,0005";"0,0000";"0,8428";"0,0140";"0,0003"
"0,3600";"0,6179";"0,0009";"0,0006";"0,0000";"0,9428";"0,0157";"0,0003"
"0,3800";"0,6179";"0,0010";"0,0007";"0,0000";"1,0350";"0,0173";"0,0003"
"0,4000";"0,6180";"0,0011";"0,0007";"0,0000";"1,1215";"0,0187";"0,0004"
"0,4200";"0,6181";"0,0012";"0,0008";"0,0000";"1,2285";"0,0205";"0,0004"
"0,4400";"0,6182";"0,0013";"0,0010";"0,0000";"1,3212";"0,0220";"0,0005"
"0,4600";"0,6184";"0,0015";"0,0011";"0,0000";"1,4567";"0,0243";"0,0006"
"0,4800";"0,6185";"0,0016";"0,0012";"0,0000";"1,5905";"0,0265";"0,0006"
"0,5000";"0,6186";"0,0018";"0,0013";"0,0000";"1,7538";"0,0292";"0,0007"
"0,5200";"0,6187";"0,0018";"0,0014";"0,0000";"1,8421";"0,0307";"0,0007"
"0,5400";"0,6188";"0,0020";"0,0015";"0,0000";"1,9908";"0,0332";"0,0008"
