Tempo; Deslocamento; Força; Tensão à flexão
(s);(mm);(kN);(MPa)
"0,0000";"0,4165";"0,0000";"-0,0011"
"0,0200";"0,4165";"0,0000";"0,0003"
"0,0400";"0,4165";"0,0000";"-0,0029"
"0,0600";"0,4168";"0,0000";"0,0054"
"0,0800";"0,4176";"0,0001";"0,0315"
"0,1000";"0,4192";"0,0003";"0,0829"
"0,1200";"0,4214";"0,0006";"0,1458"
"0,1400";"0,4241";"0,0008";"0,2196"
"0,1600";"0,4273";"0,0012";"0,3068"
"0,1800";"0,4303";"0,0015";"0,3876"
"0,2000";"0,4330";"0,0018";"0,4581"
"0,2200";"0,4356";"0,0020";"0,5248"
"0,2400";"0,4383";"0,0023";"0,5895"
"0,2600";"0,4413";"0,0025";"0,6622"
"0,2800";"0,4443";"0,0028";"0,7396"
"0,3000";"0,4472";"0,0031";"0,8147"
"0,3200";"0,4502";"0,0034";"0,8875"
"0,3400";"0,4531";"0,0037";"0,9558"
"0,3600";"0,4560";"0,0039";"1,0293"
"0,3800";"0,4590";"0,0042";"1,1053"
"0,4000";"0,4619";"0,0045";"1,1765"
"0,4200";"0,4647";"0,0048";"1,2464"
"0,4400";"0,4674";"0,0050";"1,3131"
"0,4600";"0,4702";"0,0053";"1,3798"
"0,4800";"0,4733";"0,0056";"1,4573"
"0,5000";"0,4765";"0,0059";"1,5361"
"0,5200";"0,4795";"0,0061";"1,6055"
"0,5400";"0,4823";"0,0064";"1,6696"
"0,5600";"0,4850";"0,0066";"1,7336"
"0,5800";"0,4882";"0,0069";"1,8107"
"0,6000";"0,4915";"0,0072";"1,8908"
"0,6200";"0,4946";"0,0075";"1,9627"
"0,6400";"0,4975";"0,0077";"2,0269"
"0,6600";"0,5002";"0,0080";"2,0922"
"0,6800";"0,5030";"0,0083";"2,1628"
"0,7000";"0,5061";"0,0085";"2,2334"
"0,7200";"0,5090";"0,0088";"2,3034"
"0,7400";"0,5119";"0,0091";"2,3715"
"0,7600";"0,5148";"0,0093";"2,4395"
"0,7800";"0,5178";"0,0096";"2,5129"
"0,8000";"0,5209";"0,0099";"2,5901"
"0,8200";"0,5238";"0,0102";"2,6583"
"0,8400";"0,5266";"0,0104";"2,7287"
"0,8600";"0,5297";"0,0107";"2,8024"
