Deformação (%);Tensão à flexão (MPa)
0,6190617871665179;-0,0007
0,6190617871665179;-0,0009
0,6193593176633939;0,0005
0,6205494396508976;0,0089
0,623425567787365;0,027
0,627392641079044;0,0526
0,6317564216998909;0,0807
0,6363185559853218;0,1118
0,6410790439353367;0,145
0,6460378855499356;0,1807
0,6507983734999504;0,2171
0,6552613309530892;0,2517
0,6596251115739363;0,2877
0,6639888921947832;0,325
0,6682534959833383;0,3621
0,6724189229396013;0,3997
0,6765843498958644;0,4386
0,6808489536844193;0,4796
0,6849152038083903;0,5193
0,6890806307646533;0,5625
0,6932460577209164;0,6066
0,6973123078448874;0,6492
0,7013785579688585;0,6941
0,7054448080928295;0,7392
0,7093127045522165;0,7841
0,7131806010116036;0,8282
0,7170484974709908;0,8744
0,7209163939303778;0,9215
0,724784290389765;0,9681
0,728453833184568;1,0154
0,732321729643955;1,064
0,7361896261033422;1,1151
0,7400575225627293;1,1648
0,7437270653575324;1,2126
0,7473966081523356;1,2616
0,7510661509471386;1,3128
0,7547356937419418;1,3613
0,758405236536745;1,4126
0,7621739561638401;1,4655
0,7660418526232272;1,5191
0,7697113954180304;1,5693
0,7732817613805414;1,6199
0,7769513041753445;1,6721
0,7806208469701478;1,7256
0,784389566597243;1,7815
0,7881582862243379;1,837
0,7918278290191412;1,8899
0,7953981949816523;1,9425
0,7990677377764553;1,9986
0,8027372805712587;2,0536
0,8063076465337696;2,1088
0,8099771893285727;2,1642
0,813547555291084;2,2184
0,817217098085887;2,2736
0,8207874640483982;2,3285
0,8243578300109096;2,3848
0,8281265496380044;2,4447
0,8317960924328077;2,5044
0,8355648120599027;2,5636
0,8391351780224139;2,6212
0,8429038976495091;2,6812
0,8466726172766041;2,743
0,8505405137359913;2,8056
0,8543092333630863;2,8654
0,8579787761578894;2,9231
0,8616483189526927;2,9831
0,8655162154120797;3,0463
0,8692849350391748;3,1077
0,8729544778339781;3,1668
0,8766240206287811;3,2243
0,8801943865912922;3,2838
0,8839631062183874;3,3464
0,8877318258454826;3,4075
0,8914013686402856;3,4667
0,8948725577705048;3,5209
0,8983437469007239;3,5763
0,9019141128632351;3,6345
0,9056828324903301;3,6987
0,9094515521174253;3,7628
0,9131210949122285;3,8221
0,9166914608747396;3,8792
0,9201626500049588;3,9369
0,9239313696320538;3,9988
0,9275017355945652;4,0594
0,9311712783893682;4,1193
0,9348408211841713;4,1798
0,9386095408112664;4,2445
0,9423782604383616;4,3072
0,9460478032331645;4,3677
0,9497173460279679;4,4284
0,9533868888227709;4,489
0,957056431617574;4,5499
0,9607259744123772;4,6129
0,9644946940394724;4,6768
0,9682634136665674;4,7397
0,9718337796290786;4,7958
0,9755033224238818;4,8566
0,9792720420509768;4,9219
0,98294158484578;4,9828
0,986809481305167;5,0482
0,9905782009322622;5,1109
0,9941485668947733;5,1695
0,9978181096895765;5,2309
1,0015868293166716;5,2943
1,0053555489437667;5,3572
1,0091242685708621;5,4211
1,013091341862541;5,4884
1,0169592383219281;5,5528
1,0206287811167307;5,6134
1,0243975007438262;5,6761
1,0281662203709212;5,7379
1,0319349399980164;5,8021
1,0358028364574037;5,8669
1,0395715560844987;5,9274
1,043241098879302;5,9883
1,0471089953386887;6,0553
1,050976891798076;6,1218
1,054745611425171;6,1841
1,0585143310522662;6,2441
1,0622830506793612;6,3082
1,0662501239710402;6,3779
1,0702171972627195;6,4452
1,0739859168898145;6,5081
1,0778538133492015;6,5708
1,0817217098085887;6,6372
1,0855896062679757;6,7031
1,089457502727363;6,7672
1,09332539918675;6,8318
1,0971932956461372;6,8982
1,1011603689378162;6,9675
1,1051274422294952;7,0346
1,1090945155211742;7,1003
1,1129624119805615;7,1649
1,1167311316076562;7,2282
1,1206982048993352;7,2959
1,1246652781910145;7,3637
1,1286323514826935;7,4315
1,1325002479420805;7,4955
1,1364673212337595;7,5639
1,1404343945254387;7,6309
1,144401467817118;7,6992
1,1483685411087967;7,7663
1,152236437568184;7,8312
1,1562035108598632;7,9004
1,1602697609838342;7,9692
1,1641376574432212;8,036
1,1682039075671922;8,1058
1,1721709808588714;8,1761
1,1763364078151342;8,2477
1,1804026579391054;8,317
1,1842705543984926;8,3829
1,1883368045224634;8,453
1,1924030546464344;8,522
1,1963701279381136;8,5899
1,2003372012297926;8,6597
1,2044034513537638;8,7276
1,2083705246454426;8,7955
1,2125359516017058;8,8694
1,2166022017256768;8,9395
1,220569275017356;9,0093
1,224635525141327;9,0791
1,2287017752652978;9,1509
1,232867202221561;9,2223
1,2367350986809482;9,288
1,240702171972627;9,3542
1,2448675989288904;9,4284
1,2490330258851534;9,5024
1,2530992760091242;9,5714
1,2571655261330952;9,6414
1,2612317762570662;9,712
1,2652980263810374;9,7853
1,2695626301695924;9,8596
1,2737280571258554;9,9317
1,2777943072498263;10,0019
1,2817613805415053;10,07
1,2858276306654763;10,1405
1,2898938807894476;10,2085
1,2938609540811266;10,2785
1,2980263810373895;10,3502
1,3020926311613605;10,422
1,3060597044530398;10,4892
1,3101259545770108;10,559
1,3142913815332735;10,6341
1,3184568084895367;10,7096
1,3226222354457997;10,7809
1,3266884855697707;10,8523
1,330853912526034;10,9246
1,335019339482297;10,9997
1,339085589606268;11,0702
1,343151839730239;11,1387
1,34721808985421;11,2093
1,351284339978181;11,2815
1,355548943766736;11,3595
1,359714370722999;11,4336
1,363978974511554;11,5088
1,368243578300109;11,5848
1,372409005256372;11,6586
1,376475255380343;11,7285
1,380640682336606;11,802
1,3849052861251612;11,8779
1,3890707130814242;11,95
1,3931369632053952;12,0223
1,3974015669939504;12,0975
1,401666170782505;12,1752
1,4060299514033523;12,2559
1,410294555191907;12,3317
1,41445998214817;12,404
1,418625409104433;12,4779
1,4229891897252802;12,5559
1,427154616681543;12,6304
1,4313200436378062;12,7016
1,4354854705940692;12,774
1,4398492512149161;12,854
