Deformação (%);Tensão à flexão (MPa)
0,538968058968059;-0,0011
0,538968058968059;-0,001
0,5393611793611794;0,0017
0,541130221130221;0,0125
0,5444717444717445;0,0331
0,5486977886977888;0,0583
0,5532186732186732;0,0847
0,5576412776412777;0,1123
0,5623587223587224;0,1429
0,5668796068796068;0,1733
0,5712039312039313;0,2037
0,5756265356265357;0,2373
0,5803439803439804;0,2744
0,5851597051597052;0,3124
0,5896805896805897;0,3485
0,5939066339066339;0,3831
0,5980343980343981;0,4185
0,6022604422604424;0,4556
0,6064864864864865;0,494
0,610909090909091;0,5353
0,6152334152334152;0,5772
0,6194594594594596;0,6185
0,6235872235872236;0,6586
0,6277149877149878;0,699
0,631842751842752;0,7405
0,6359705159705161;0,7828
0,64;0,8247
0,6440294840294841;0,8681
0,6481572481572482;0,9136
0,6523832923832924;0,9615
0,6564127764127765;1,0061
0,6603439803439805;1,0487
0,6640786240786241;1,0913
0,6679115479115479;1,1361
0,6719410319410319;1,1835
0,6757739557739558;1,2291
0,6796068796068797;1,2763
0,6834398034398035;1,3213
0,6871744471744473;1,3678
0,6911056511056511;1,4174
0,6950368550368551;1,4669
0,6988697788697789;1,5155
0,7028009828009828;1,5656
0,7065356265356265;1,613
0,7101719901719902;1,6592
0,713906633906634;1,7084
0,7176412776412776;1,759
0,7216707616707616;1,8143
0,7257002457002457;1,8689
0,7295331695331695;1,9212
0,7332678132678133;1,9713
0,736904176904177;2,0209
0,7406388206388207;2,0735
0,7444717444717445;2,1265
0,7481081081081081;2,1768
0,751941031941032;2,2301
0,7555773955773957;2,2824
0,7593120393120393;2,3354
0,7630466830466831;2,3887
0,766879606879607;2,4458
0,7708108108108109;2,5044
0,7747420147420148;2,5617
0,7783783783783785;2,615
0,7821130221130221;2,6681
0,786044226044226;2,7273
0,78997542997543;2,7875
0,7939066339066339;2,8482
0,7977395577395577;2,905
0,8014742014742015;2,9611
0,8053071253071253;3,0197
0,8091400491400492;3,0781
0,812972972972973;3,1347
0,8167076167076168;3,191
0,8203439803439804;3,2478
0,8241769041769043;3,3071
0,827911547911548;3,3647
0,8316461916461917;3,4236
0,8353808353808353;3,4813
0,838820638820639;3,5337
0,8425552825552826;3,5917
0,8462899262899263;3,6515
0,8499262899262899;3,7095
0,8535626535626537;3,7683
0,8572972972972973;3,8283
0,861031941031941;3,8895
0,8646683046683047;3,947
0,8682063882063882;4,0044
0,871941031941032;4,0653
0,8755773955773957;4,1235
0,8791154791154792;4,1825
0,8828501228501229;4,2425
0,8864864864864865;4,3041
0,8903194103194104;4,3702
0,894054054054054;4,4312
0,8976904176904178;4,4893
0,9012285012285013;4,5472
0,904864864864865;4,6076
0,9086977886977888;4,6726
0,9125307125307125;4,7368
0,9161670761670762;4,7973
0,9198034398034398;4,8563
0,9234398034398035;4,9169
0,9271744471744473;4,9811
0,931007371007371;5,0458
0,9348402948402948;5,1099
0,9384766584766585;5,1685
0,9421130221130222;5,228
0,9457493857493858;5,289
0,9493857493857495;5,3499
0,9531203931203932;5,413
0,9568550368550369;5,4765
0,9607862407862411;5,5422
0,9646191646191647;5,6066
0,9682555282555282;5,6678
0,9720884520884521;5,7314
0,9758230958230958;5,795
0,9796560196560197;5,8575
0,9834889434889434;5,9225
0,9872235872235872;5,9832
0,9908599508599508;6,042
0,9946928746928747;6,1077
0,9985257985257986;6,1731
1,0022604422604422;6,2354
1,0059950859950861;6,2971
1,00992628992629;6,3645
1,013857493857494;6,4311
