Tempo;Deslocamento;Força;Deformação à tração (Deslocamento);Deslocamento à tração;Quantidade de PIP;Tenacidade;Tensão à tração
(s);(mm);(kN);(%);(mm);;(N/tex);(MPa)
"0,0000";"0,0006";"0,0000";"0,0000";"0,0000";"0,0000";"-0,0042";"-0,0001"
"0,0200";"0,0013";"0,0007";"0,0003";"0,0007";"0,0000";"0,7398";"0,0123"
"0,0400";"0,0068";"0,0064";"0,0032";"0,0062";"0,0000";"6,3981";"0,1066"
"0,0600";"0,0168";"0,0166";"0,0085";"0,0162";"0,0000";"16,5819";"0,2764"
"0,0800";"0,0287";"0,0285";"0,0148";"0,0281";"0,0000";"28,5262";"0,4754"
"0,1000";"0,0409";"0,0407";"0,0212";"0,0403";"0,0000";"40,7149";"0,6786"
"0,1200";"0,0530";"0,0526";"0,0276";"0,0524";"0,0000";"52,5729";"0,8762"
"0,1400";"0,0650";"0,0643";"0,0339";"0,0644";"0,0000";"64,2967";"1,0716"
"0,1600";"0,0770";"0,0758";"0,0402";"0,0764";"0,0000";"75,8415";"1,2640"
"0,1800";"0,0886";"0,0870";"0,0463";"0,0880";"0,0000";"86,9872";"1,4498"
"0,2000";"0,1006";"0,0983";"0,0526";"0,1000";"0,0000";"98,2956";"1,6383"
"0,2200";"0,1130";"0,1100";"0,0592";"0,1124";"0,0000";"109,9802";"1,8330"
"0,2400";"0,1255";"0,1215";"0,0657";"0,1249";"0,0000";"121,5287";"2,0255"
"0,2600";"0,1381";"0,1332";"0,0724";"0,1375";"0,0000";"133,1954";"2,2199"
"0,2800";"0,1507";"0,1447";"0,0790";"0,1501";"0,0000";"144,6725";"2,4112"
"0,3000";"0,1636";"0,1563";"0,0858";"0,1630";"0,0000";"156,3397";"2,6057"
"0,3200";"0,1770";"0,1684";"0,0929";"0,1764";"0,0000";"168,3847";"2,8064"
"0,3400";"0,1910";"0,1808";"0,1002";"0,1904";"0,0000";"180,8098";"3,0135"
"0,3600";"0,2050";"0,1932";"0,1076";"0,2044";"0,0000";"193,1655";"3,2194"
